movie_id,preference_key,movie_title,star_cast,rating,year,place,vote,link
39,3,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.48653708,1995,39,,/title/tt0114814/
40,4,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.484145067,2006,40,,/title/tt0407887/
41,1,Spider-Man: Sin Camino A Casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.479724904,2021,41,,/title/tt10872600/
42,2,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.478088276,2006,42,,/title/tt0482571/
43,3,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.472102734,1942,43,,/title/tt0034583/
44,4,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.465417262,2014,44,,/title/tt2582802/
45,1,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.46277008,2011,45,,/title/tt1675434/
46,2,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.456742646,1936,46,,/title/tt0027977/
47,3,Erase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.455675891,1968,47,,/title/tt0064116/
48,4,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.452721457,1962,48,,/title/tt0056058/
49,1,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.452034072,1988,49,,/title/tt0095327/
50,2,"Alien, el 8° pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.443571681,1979,50,,/title/tt0078748/
51,3,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.443326266,1954,51,,/title/tt0047396/
52,4,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.441204686,1931,52,,/title/tt0021749/
53,1,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.435587272,2000,53,,/title/tt0209144/
54,2,Apocalipsis,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.43222856,1979,54,,/title/tt0078788/
55,3,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.431339792,1988,55,,/title/tt0095765/
56,4,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.421496969,1981,56,,/title/tt0082971/
57,1,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.41089658,2012,57,,/title/tt1853728/
58,2,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.401687641,2008,58,,/title/tt0910970/
59,3,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.391861194,2006,59,,/title/tt0405094/
60,4,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.388547834,1950,60,,/title/tt0043014/
61,1,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.376944438,1980,61,,/title/tt0081505/
62,2,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.375797506,1957,62,,/title/tt0050825/
63,3,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.373233592,1940,63,,/title/tt0032553/
64,4,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.365478746,2018,64,,/title/tt4154756/
65,1,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.358186327,1957,65,,/title/tt0051201/
66,2,"Aliens, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.353931262,1986,66,,/title/tt0090605/
67,3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.347874616,1999,67,,/title/tt0169547/
68,4,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.345664113,2012,68,,/title/tt1345836/
69,1,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.340823791,1964,69,,/title/tt0057012/
70,2,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.336089259,2019,70,,/title/tt7286456/
71,3,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.33448641,2018,71,,/title/tt4633694/
72,4,Oldboy: Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.326509386,2003,72,,/title/tt0364569/
73,1,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.326400852,1995,73,,/title/tt0112573/
74,2,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.323877587,1995,74,,/title/tt0114709/
75,3,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.321349655,1984,75,,/title/tt0086879/
76,4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.320392832,2017,76,,/title/tt2380307/
77,1,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.318201499,2009,77,,/title/tt0361748/
78,2,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.317306092,1981,78,,/title/tt0082096/
79,3,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.312573547,2019,79,,/title/tt4154796/
80,4,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.311355583,1997,80,,/title/tt0119698/
81,1,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.31073949,1984,81,,/title/tt0087843/
82,2,Batman,"Matt Reeves (dir.), Robert Pattinson, Zoë Kravitz",8.308104894,2022,82,,/title/tt1877830/
83,3,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.293230209,1997,83,,/title/tt0119217/
84,4,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.289245138,2010,84,,/title/tt0435761/
85,1,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.287039485,2000,85,,/title/tt0180093/
86,2,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.281175482,2009,86,,/title/tt1187043/
87,3,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.280241359,2016,87,,/title/tt5311514/
